Name,Category,Subcategory,Categories,Description,Long Description,Tags,Owner Name,Address,Phone,Email,Website,Message Link,Image URL,Featured,Hours,Hours Location Name,Specials,Specials Image URL,Profile Enabled,Owner Email,License Number,Facebook,Instagram,TikTok,YouTube,LinkedIn,Twitter,Pinterest,Additional Locations,Business ID
Limitless Auto Body,automotive,Auto Body & Collision Repair,,"Locally owned and operated in Redmond, Limitless Auto Body specializes in collision repair, auto body work, custom paint, and vehicle restoration. Owners Derek and Tori Camacho have built a reputation for exceptional craftsmanship, attention to detail, and customer service that helps make the repair process as stress-free as possible. Whether you need accident repairs, dent and paint work, motorcycle refinishing, fiberglass or carbon fiber repairs, or custom graphics, their team is committed to restoring your vehicle with precision and care. Free estimates are available, and they work with most insurance companies to help customers navigate the claims process.",,Auto Body Repair; Collision Repair; Auto Paint; Vehicle Restoration; Custom Paint; Dent Repair; Insurance Claims; Motorcycle Paint; Fiberglass Repair; Carbon Fiber Repair; Custom Graphics; Redmond Oregon; Locally Owned; Free Estimates; Auto Refinishing,,"1515 NW 6th St., Redmond, OR 97756",541-279-7461,Info@LimitlessAutoBody.com,https://www.limitlessautobody.com,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/2718012d0_LimitlessAutoBody.jpg,No,"Mon 9am - 5pm, Tues - Fri 8am - 5pm",,,,Yes,,,https://www.facebook.com/Limitlessautobodyredmond,@doc_limitless_rdm,,,,,,[],6a35def8238685e7443cabd8
StrikingGlam PhotoBooth,entertainment,Photo Booth Rentals,,"A local Photo Booth business serving all of Central Oregon! Our open-air Photo Booth is perfect for weddings, quinceañeras, baby showers, graduation parties, and all kinds of celebrations. We provide both digital and print options to capture and share your special moments.",,Photo Booth; Open-Air Photo Booth; Wedding Entertainment; Party Rentals; Event Photography; Digital Prints; Printed Photos; Graduation Party; Quinceañera; Baby Shower; Celebration Services; Central Oregon; Locally Owned; Private Events; Corporate Events,,"Redmond, OR 97756",541-981-4157,striking.glamphotobooth@gmail.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/976875c6f_StrkingGlamPhotoBooth.jpg,No,By Appointment,,,,Yes,,,,,,,,,,[],6a35d9b37c464f6b843555ec
Herringbone Bookstore,shopping,Bookstores,,"Located in the heart of downtown Redmond, Herringbone Books is an independent, family-friendly bookstore offering a thoughtfully curated selection of bestselling books, local and regional authors, children's books, gifts, games, and unique treasures for readers of all ages. More than just a bookstore, Herringbone Books serves as a community gathering place, hosting author events, book clubs, and special literary experiences that bring readers together. Whether you're searching for your next favorite novel, a gift for a fellow book lover, or a welcoming place to explore, Herringbone Books is a local gem worth discovering.",,Independent Bookstore; Books; New Books; Local Authors; Children's Books; Young Adult Books; Fiction; Nonfiction; Gifts; Games; Educational Toys; Book Club; Author Events; Family Friendly; Downtown Redmond; Shop Local; Readers; Community Events; Oregon Authors; Literary Events,,"422 SW 6th St., Redmond, OR 97756",541-526-1491,Herringbonebooksevents@gmail.com,https://Herringbonebooks.com,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/87537c234_HerringboneBooks.jpg,Yes,Mon - Sat 9:30am - 6:00pm,,,,Yes,,,https://www.facebook.com/herringbonebooks,@herringbonebooks,,,,,,[],6a35593dab00389698a234ed
Elements Market,shopping,Specialty Shops,,"Elements Market is your local convenience store offering cold soda, beer, snacks, candy, chips, and everyday essentials. Whether you're grabbing a quick drink, stocking up on basic necessities, or looking for unique novelty items and smoking accessories, we've got you covered. Conveniently located and friendly to both locals and visitors, Elements Market is your one-stop shop for quick purchases, refreshments, and convenience items at affordable prices.",,convenience store; cold drinks; soda; beer; snacks; candy; chips; everyday essentials; novelty items; smoking accessories; quick purchases; refreshments; affordable prices; locals; visitors; one-stop shop,,"1857 NW 6th St., Redmond, OR 97756",541-675-7964,elements97756@gmail.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/d6c1cf66f_ElementsMarket.jpg,No,Every Day - 7am - 10pm,,,,Yes,,,https://www.facebook.com/share/18mSyY3QnW/?mibextid=wwXIfr,@elements_market,,,,,,[],6a330dc434a5674d9a7c34e7
Event Elegance,entertainment,Event Rentals & Coordination,,"Event Elegance provides event rentals, décor, and day-of coordination services for weddings, corporate events, and special occasions throughout Central Oregon. From tables, chairs, and linens to tents, dance floors, and custom event design, their team focuses on creating seamless, stress-free celebrations with personalized service, attention to detail, and a commitment to bringing each client's unique vision to life.",,Event Rentals; Wedding Rentals; Wedding Planning; Event Coordination; Day-of Coordination; Party Rentals; Corporate Events; Special Events; Wedding Decor; Event Decor; Tables and Chairs; Linens; Tents; Dance Floors; Farmhouse Tables; Wedding Arbors; Event Design; Celebration Planning; Central Oregon Weddings; Local Business,,,541-508-6854,hello@eventeleganceoregon.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/f235b75d7_EventElegance.jpeg,No,,,,,Yes,,,https://www.facebook.com/EventEleganceOregon,@event.elegance,,,,,,[],6a3069353dee87b9c5060868
2MuchFun Travel,transportation,Travel Consultant,,"2MuchFun Travel LLC is a Central Oregon-based travel agency specializing in cruises, luxury and affordable vacations, rail journeys, guided tours, golf travel, wellness retreats, and customized travel experiences worldwide. With personalized planning, expert guidance, and concierge-style support before, during, and after your trip, they take the stress out of travel while helping clients create unforgettable adventures. Whether you're dreaming of an Alaska cruise, a golf trip to Ireland, a European wine tour, or a relaxing beach getaway, 2MuchFun Travel helps turn travel dreams into reality.",,Travel Agency; Travel Planning; Cruise Vacations; River Cruises; Luxury Travel; Affordable Luxury; Vacation Planning; Custom Itineraries; Guided Tours; Independent Travel; Rail Journeys; Golf Travel; Fishing Trips; Wellness Retreats; European Travel; Alaska Cruises; Caribbean Vacations; Honeymoons; Romantic Getaways; Adventure Travel; Travel Coaching; Family Vacations; Group Travel; Bucket List Travel,,,541-350-8785,FunTravelHelpers@gmail.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/67d43ea90_2MuchFunTravel.jpg,No,Appointment Only,,,,Yes,,,https://www.facebook.com/2MuchFunTravel/,@2muchfuntravel,,,https://www.linkedin.com/in/erinn-maher-shaw-848b2561/,,,[],6a30591ff609a68f8a65aa85
Redmond Veterinary Clinic Central Oregon,pet-services,Pet Care,,"Since 1942, Redmond Veterinary Clinic has been providing compassionate, high-quality veterinary care to pets throughout Central Oregon. With a legacy built on experience, education, and uncompromising care, the clinic offers advanced medical and surgical services while fostering lasting relationships with pets and their families. As a Fear Free™ and Cat Friendly Practice, their team is committed to creating a low-stress, welcoming environment where every pet receives the comfort, respect, and expert care they deserve.",,Small Animal; Large Animal; Equine; Veterinary Care; Fear Free; Cat Friendly; Surgery; Wellness Exams; Vaccinations; Pet Health; Dental Care; Emergency Care,,"1785 NW 6th St., Redmond, OR 97756",541-548-1048,Info@Redmondvetclinic.com,https://www.redmondvetclinic.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/b07ee7165_RedmondVetClinic.webp,No,Mon - Fri 7:30am - 5 pm.   Sat 7:30am - Noon,,,,Yes,,,https://www.facebook.com/redmondvetclinic,,,@redmondveterinaryclinic2034,,,,[],6a30558c923cabcbc5a5bce5
DNA Home Services,home-services,Contractors,,Handyman services. Specializing in exterior home repairs. Expert deck builders. Retaining walls. Fencing. Exterior clean up. Siding.,,Handyman; Exterior Home Repairs; Deck Builders; Retaining Walls; Fencing; Exterior Clean Up; Siding,,"Redmond, OR 97756",541-550-8772,dna.homeservicesco@gmail.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/9ea5a07c6_DNAHomeServcies.jpg,No,Appointment Only,,,,Yes,,,,,,,,,,[],6a2f870cc627ff69bf939397
Glacier Gourmet Freeze Dried Food Company,food-drink,Freeze-Dried Foods,,"Premium freeze dried foods grab-n-go style. Prepackaged, shelf stable, no refrigeration needed. Fresh fruits, gourmet desserts, premium ice creams, nostalgic candy & more.",,Freeze-Dried Foods; Freeze-Dried Candy; Freeze-Dried Ice Cream; Freeze-Dried Fruit; Snacks & Treats; Shelf Stable; Grab & Go; No Refrigeration Needed; Gourmet Snacks; Nostalgic Candy; Locally Owned; Online Ordering,,,541-241-8784,charlotte@glacierfd.com,https://www.theglaciergourmet.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/03327bb11_GlacierGourmet.jpg,No,,,,,Yes,,,https://www.facebook.com/profile.php?id=61555675406668,@theglaciergourmet,@glaciergourmet,@theglaciergourmet,,,,[],6a2e2b703367c57aae16fb5b
Santos Carpet Cleaning and Auto Detail,home-services,Carpet Cleaning,,"Professional carpet cleaning, upholstery cleaning, and mobile auto detailing services serving Redmond, Bend, and all of Central Oregon since 2008. 🚗✨🏠",,Carpet Cleaning; Upholstery Cleaning; Auto Detailing; Mobile Detailing; Interior Vehicle Cleaning; Residential Cleaning; Commercial Cleaning; Deep Cleaning; Hot Water Extraction; Steam Cleaning; Pet Stain Removal; Carpet Sanitizing; Vehicle Detailing; Family-Owned Business; Licensed & Insured; Eco-Friendly Cleaning; Home Maintenance; Local Business; Redmond Oregon; Bend Oregon; Central Oregon,,"535 East Cascade Ave., Redmond, OR 97756",541-870-8303,info@santoscarpetandauto.com,https://santoscarpetandauto.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/1b146a105_ScreenShot2026-06-13at161027PM.png,No,Mon - Sat 8:00 am - 6:00 pm.  Sun - By Appointment,,,,Yes,,,https://www.facebook.com/santoscarpetandauto,@santoscarpetcleaningandauto,,,,,,[],6a2de336eb67a18b28a89895
"Connected Path Therapy Services, LLC",professionals,Couples Therapist,,"Helping couples strengthen communication, rebuild connection, and navigate life's challenges through relationship therapy, counseling, and focused therapy intensives.",,Couples Therapy; Couples Counseling; Relationship Therapy; Marriage Counseling; Communication Skills; Conflict Resolution; Therapy Intensives; Counseling & Therapy; Mental Health; Relationship Support; Healing & Growth; Individual Therapy; Licensed Therapist; By Appointment; Telehealth; In-Person Therapy; Locally Owned; Redmond Oregon; Central Oregon; Women's Health,,"150 SW 4th St., Redmond, OR 97756",541-824-0733,info@connectedpath-therapy.com,https://connectedpath-therapy.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/7dca18f8e_ConnectedPath.png,No,Appointment Only,,,,Yes,,,https://www.facebook.com/profile.php?id=61586454800716,@connectedpaththerapy,,,,,,[],6a2dde8434a0bd713344ef96
Clock Tower Pub Redmond,bars-breweries,Sports Bar,food-drink,"The Clocktower Pub is a lively sports bar and pub located in Redmond Oregon. This establishment offers patrons a warm, welcoming atmosphere to enjoy cold beers, cocktails, wine, cider, delicious pub fare, and watch their favorite sports events. With big-screen TVs and a great selection of drinks, it's the perfect spot to gather with friends and celebrate the big game or just unwind after a long day.  Our establishment has fun and games for all including: billiards, arcade, video lottery and more.",,Sports Bar; Pub; Downtown Redmond; Local Bar; Craft Beer; Beer on Tap; Cocktails; Happy Hour; Sports Viewing; Game Day; NFL Football; College Football; Basketball; Baseball; Wings; Burgers; Pub Food; Casual Dining; Friends Night Out; Live Sports; Locally Owned; Redmond Oregon; Central Oregon,,"2757 NW 7th St., #G, Redmond, OR 97756",541-526-1871,,https://www.clocktowerpub.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/2ec38e169_ClockTowerPub.jpg,No,,,,,Yes,,,,,,,,,,[],6a2dd7cea50c77847351bd1b
Steep Teahouse & Gifts,food-drink,Tea House,food-drink; shopping,"Central Oregon's only Tea House offering walk-in and reservation hot and iced tea, High Tea, fresh baked and locally sourced treats, and exceptional gifts. A place for people of all ages and local family owned. Come have Tea with us!",,Tea House; Loose Leaf Tea; Tea Shop; Specialty Tea; Herbal Tea; Afternoon Tea; Tea Blends; Tea Gifts; Gift Shop; Coffee & Tea; Unique Gifts; Specialty Retail; Wellness Products; Artisan Gifts; Tea Accessories; Relaxation; Locally Owned; Redmond Oregon; Central Oregon; Downtown Redmond,,"307 NW 7th St., Redmond, OR 97756",541-508-1286,Admin@steep-teahouse.com,https://www.steep-teahouse.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/298876720_SteepTeahouse.jpeg,No,Tues - Fri 10:00am - 4:00 pm  Sat 10:00am - 3:00 pm,,,,Yes,,,https://www.facebook.com/profile.php?id=61577379223148,@steepteahouse,@steep_teahouseandgifts,,,,,[],6a2dd59f53eb870392f2d4b8
Authentic Roofing Company,professionals,Roofing Contractor,,"Family-owned roofing company based in Redmond, OR, serving all of Central Oregon. We provide roof replacements, repairs, and inspections with a focus on Quality • Integrity • Efficiency. Honest quotes, durable materials, and craftsmanship you can trust.",,Roofing Contractor; Roof Replacement; Roof Repair; Residential Roofing; Commercial Roofing; Asphalt Shingles; Metal Roofing; New Construction Roofing; Storm Damage Repair; Roof Inspections; Roof Maintenance; Gutter Installation; Exterior Services; General Contractor; Home Improvement; Construction Services; Central Oregon; Redmond Oregon; Locally Owned; Family-Owned,,"Redmond, OR 97756",541-420-4584,jonathan@authenticroofingco.com,https://AuthenticRoofingCo.com,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/3ce14dfee_AuthenticRoofingCompany.jpg,No,By Appointment Only,,,,Yes,,,https://www.facebook.com/profile.php?id=61581206477685,@authenticroofingcompany,,,,,,[],6a2dd0e47e9c413b22810a91
Authentic Custom Homes Co.,professionals,Custom Home Builder,,🏡 Custom Home Builder in Central Oregon 🔨 Quality | Integrity | Efficiency ✨ Building forever homes where craftsmanship meets care. 📆 8-10 Month Build Timeline | 100% Client Satisfaction,,Custom Homes; Home Builder; New Construction; Custom Construction; Dream Home; Residential Construction; Home Design; General Contractor; Luxury Homes; Custom Design; Home Planning; Build on Your Lot; Central Oregon Builder; Home Renovation; Project Management; Construction Services; Local Contractor; Family-Owned; Locally Owned; New Home Construction,,"Redmond, OR 97756",541-420-4584,jonathan@authenticcustomhomes.info,https://www.authenticcustomhomes.info/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/4c5755f67_AuthenticCustomHomes.webp,No,Appointment Only,,,,Yes,,,https://www.facebook.com/authenticcustomhomesco/,https://www.instagram.com/authenticcustomhomesco/,,,,,,[],6a2dce55054d9a8925966a69
Valene's Creativity,professionals,Mural Artist,,"Custom freehand mural artist creating one-of-a-kind artwork for homes, businesses, schools, offices, and community spaces throughout Central Oregon.",,Custom Murals; Wall Art; Commercial Murals; Residential Murals; Hand-Painted Art; Freehand Murals; Office Decor; Business Branding; Interior Design; School Murals; Daycare Murals; Public Art; Local Artist; Woman-Owned; Central Oregon; Redmond Oregon; Commissioned Artwork; Creative Services; Custom Artwork,,"Redmond, OR",,valenescreativity@gmail.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/a8efa268c_generated_image.png,No,Appointment Only,,,,Yes,,,https://www.facebook.com/profile.php?id=61579101216821,@ valenescreativitybiz,,,,,,[],6a2dcb3efb0a06fc95b99220
Full Throttle Java,food-drink,Coffee Shops,,"Drive Thru Coffee Hut Serving Coffee and Espresso based drinks, Bubble Tea, smoothies, Bagels, Soft Pretzels and Pastries.",,Takeout Available; Custom Orders; Small Batch; Handcrafted; Single Origin; Coffee Kiosk; Walk-Up Window; Drive-Thru,,"255 SW 5th St., Redmond, OR 97756",541-788-0010,fullthrottlejava@gmail.com,https://fullthrottlejava.com,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/e9e1407e6_FullThrottleJava.webp,No,Mon - Fri  5:30am - 8:00 pm.  Sat 5:30 am - 5:00 pm.   Sun 7:00 am - 5:00 pm,,,,Yes,,,https://www.facebook.com/fullthrottleredmond,,,,,,,[],6a2dc78f1709943497f63595
McCauley's Truck Center,automotive,Repair,,"Trust us for all of your diesel truck repair, fleet maintenance, and roadside assistance needs for both large trucks and light-duty pickup diesel trucks.",,,,64970 Deschutes Pleasant Ridge Rd,541-383-8269,mccauleystruckcenter@gmail.com,https://mccauleystruckcenter.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/4912e850b_McCauleysTruckCenter.jpg,No,,,,,Yes,,,https://www.facebook.com/profile.php?id=100091577536212,,,,,,,[],6a2968e48757ba9add54bdd4
PenPac Enterprises Inc,automotive,Repair,,RV & Boat Fiberglass Repair,,,,"2259 SW Yew Ct., Redmond, OR 97756",541-419-8319,danpenington@yahoo.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/6b2cbf40a_PenPacEnterprises.jpg,No,Mon - Fri 8am - 5pm,,,,Yes,,,https://www.facebook.com/profile.php?id=100063576941367,,,,,,,[],6a2967362f642ae3e282ea6e
Dancing With Knots Massage LLC,beauty-wellness,Massage,,"Therapeutic massage focused on relieving pain, reducing stress, improving mobility, and helping you feel your best. Personalized care for body, mind, and wellness.",,,,"5125 SW Clubhouse Dr, Terrebonne, OR 97760",541-815-8863,,https://www.massagebook.com/therapists/kaila-bouchet-lmt?src=external,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/bbac34891_DancingWithKnotts.webp,No,By Appointment Only,,,,Yes,,,https://www.facebook.com/doublebmassage,,,,,,,[],6a2962d699626aabe165a339
"Earth Spirit Somatics, LLC",beauty-wellness,Counseling & Therapy,,"Guiding you back to yourself through body-centered healing, emotional release, and compassionate support for life's challenges and transitions.",,somatic therapy; body-centered healing; emotional wellness; holistic healing; life transitions; emotional support; trauma support; counseling; mindfulness; healing,,"Redmond, OR",503-477-077,denise@earthspiritsomatics.com,https://www.earthspiritsomatics.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/833604774_EarthSpiritSomatics.webp,No,By Appointment,,,,Yes,,,,@earthspiritsomatics,,,,,,[],6a2959e36a2644d440fd39b4
Jordan Rachael Photography,professionals,Photography,,Portrait and Sports Photograph,,Family Photos; Photographer; Senior Photos; Portrait Photography; Individual Photos; By Appointment,,,,,https://www.jordanrachaelphoto.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/2e09d3c5e_JordanRachaelPhotography.jpg,No,Appointment Only,,,,Yes,,,https://www.facebook.com/jordanrachaelphoto,@jordanrachaelphoto,,,,,,[],6a282120d43cbc2a772935a2
Lattanzi Spa,beauty-personal-care,Skincare,,"Lattanzi Spa offers luxury spa, skincare, and wellness services in a relaxing and welcoming environment. From customized facials and skin treatments to beauty and self-care services, their team focuses on helping clients feel refreshed, rejuvenated, and confident.

Whether you're preparing for a special event, maintaining a skincare routine, or simply taking time to recharge, Lattanzi Spa provides personalized treatments designed to support your wellness and beauty goals. Their commitment to exceptional care and attention to detail has made them a favorite destination for relaxation and self-care in Central Oregon.

Because sometimes the best investment you can make is in yourself. ✨",,Skincare Consultant; Women-Owned,,339 SW 6th St.,541-350-5912,Lattanzispa@gmail.com,https://SpaLattanzi.com,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/16bf37f89_LattanziSpa.jpg,No,,,,,Yes,,,https://www.facebook.com/Lattanzispa,,,,,,,[],6a281f57183ab1d0bc39e127
House of The Book,shopping,Bookstores,,"Greetings! I left retirement behind to follow a desire of my heart to sit in a room full of books and music and connect with others who love the same. “Come nourish your mind with truth, seek limitless possibilities and cultivate your imagination.”",,Book Events; New Books; Used Books; Bookstore,,"307 NW 7th St., Redmond, OR 97756",,TMason@HouseofTheBook.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/43af405fd_HouseofTheBook.jpg,No,Wed - Fri 10am - 4pm.  Sat 10am - 3pm,,,,Yes,,,https://www.facebook.com/profile.php?id=61582172475286,@house.ofthebook,,,,,,[],6a281a533bbf200eb5ec36d2
Double T's Smoothies & Paninis,food-drink,Food Trucks,,"Double T's Smoothies & Paninis offers fresh, locally sourced paninis and handcrafted smoothies in a welcoming atmosphere. Focused on quality ingredients and great customer service, it's a perfect stop for a quick lunch, healthy snack, or refreshing drink in Redmond.",,Smoothies; Food Trucks; Paninis; Sourdough Bowls; Soup; Outdoor Seating; Family Friendly; Dog Friendly,,General Duffy's Waterhole,808-271-2419,smoothiesandpaninis@gmail.com,,,https://assets.cdn.filesafe.space/bSVzQa4vXOQIymm0xMWH/media/6a257616fc95b24549ab3617.jpeg,No,Thurs - Mon 11am - 8pm,,,,Yes,,,,@https://www.instagram.com/smoothiesandpaninis/,,,,,,,6a24878febbe9ae63340f118
TFiveBanners,shopping,Custom Signs & Banners,,"Custom painted banners for events/parties, businesses, or just for fun!",,,,"Redmond, OR",,,https://campsite.bio/tfivebanners?fbclid=IwY2xjawSRKEJleHRuA2FlbQIxMABicmlkETFpaTBuOFBYbVNvUjBoY1lkc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHtkD7iQhx7gkWksRGVsIexU-nbDZypUVMJ5UrjBeYkfKlZVHDnGRkRRXSQZq_aem_FSe8DY3rzlvoUVubCSbAJw,,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-1/686049366_122128210155005178_7359132758503984180_n.jpg?stp=dst-jpg_tt6&cstp=mx2000x2000&ctp=s480x480&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=J_EPbb2Or3IQ7kNvwH9oUMN&_nc_oc=Adpen1uLCE7MJS37ac4GAB5j4Pwsp72WPuTLi_n-6qjNN474Ig8VG9_DGiOmGEikA0c&_nc_zt=24&_nc_ht=scontent-sjc6-1.xx&_nc_gid=KjyTP2h_XO8ijW-HciuY1g&_nc_ss=7b2a8&oh=00_Af-uJCSgBTvnrASCY6kzKxcsBjIvIoRLl_b1VYqCPwiUDA&oe=6A2A3064,No,,,,,Yes,,,https://www.facebook.com/profile.php?id=61580155341177,@tfivebanners,,,,,,[],6a24491b812e7f2a74b143ec
Sandbagger Saloon & Dinner House,food-drink,Restaurants,,The Sandbagger Saloon and Dinner House is a gathering place for families and friends. We are located on the golf course at Crooked River Ranch.,,,,"5165 SW Clubhouse Rd., CRR",541-923-8655,,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/57d5deeae_SandbaggerSaloon.jpg,No,,,,,Yes,,,https://www.facebook.com/profile.php?id=100055947356210,,,,,,,[],6a244890a88e34f0a78894c4
Rowdy Ranch Boutique and Resale,shopping,Boutiques,,"Rowdy Ranch strives to make shopping a fun and affordable experience, without having to travel far! We offer a wide array of new and used clothing and accessories for both women and children as well as some local artisan gifts and so much more!",,Secondhand; New Arrivals; Children's Clothing; Men's Clothing; Women's Clothing; Clothing & Apparel; Infant & Baby Clothing,,"8255 11th Street, Terrebonne, OR 97760",,rowdyranchboutiqueandresale@gmail.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/6e0c1848f_RowdyRanch.jpg,No,,,,,Yes,,,https://www.facebook.com/profile.php?id=61586041221605,,,,,,,[],6a2444453a236808d4a7438b
River Run Ranch - Farmstand,food-drink,Specialty Foods,,"River Run Ranch – RRR Farmstand is a locally owned farm stand offering a variety of homemade and locally crafted goods for the Redmond community. Visitors can find fresh-baked sourdough breads, homemade jams and jellies, specialty teas, handcrafted spice blends, seasonal hanging flower baskets, and other unique farm-fresh products. With an ever-changing selection of locally made favorites and a commitment to supporting the community, River Run Ranch provides a convenient stop for quality goods, thoughtful gifts, and delicious homemade treats. Whether you're looking for fresh sourdough, a jar of homemade jam, or a beautiful hanging basket, there's always something new to discover at the farm stand.",,Family Friendly; Locally Owned; Weekly Market; Local Vendors; Single Origin; Cut Flowers; Seasonal Blooms; Jams & Jellies; Preserves; Farm Fresh; Fresh Flowers,,Corner of Hummingbird & Shad - CRR,,riverrunmustangproject@yahoo.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/5b9acf5d2_RiverRunRanch.jpg,No,Sat - Sun 9 am - 7 pm,,,,Yes,,,https://www.facebook.com/profile.php?id=61576086983184,,,,,,,,6a2441022598695f0f1ececc
Sassy Sourdough Bakery,food-drink,Bakeries,,"Ashley's Sassy Sourdough is a local artisan bakery specializing in handcrafted sourdough breads, baked goods, and delicious homemade treats made with passion and quality ingredients. Known for creative flavors, fresh-baked goodness, and a personal touch, Ashley's Sassy Sourdough brings traditional baking methods together with a little sass and a lot of flavor. Whether you're looking for a classic loaf, specialty sourdough creations, or unique baked treats, you'll find products made with care and a commitment to quality that keeps customers coming back for more.",,Locally Owned; Family Friendly; Women-Owned; Local Vendors; Weekly Market; Small Batch; Handcrafted,,Corner of Chad & Hummingbird in CRR,458-287-5684,mamashley37@gmail.com,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/933f85c37_SassySourdough.jpg,No,Sat & Sun 9 am - 7 pm,,,,Yes,,,https://www.facebook.com/profile.php?id=61573530261668,,,,,,,,6a243b3f961e49b85ebf6b34
Two Gifty Girls,shopping,Specialty Shops,,"Two Gifty Girls is a locally owned downtown Redmond boutique offering unique gifts, gourmet foods, home décor, boutique clothing, self-care products, and DIY supplies. Known for its carefully curated selection and welcoming atmosphere, it's the perfect place to find something special for yourself or someone you love.",,Personalized Gifts; Locally Owned; Family Friendly,,"433 SW 6th St., Redmond, OR 97756",541-516-1955,cheers@twogiftygirls.com,https://www.twogiftygirls.com/,,"https://static.wixstatic.com/media/632ddb_9ddbdd4dec2046acbe6e658fb8d62692~mv2.png/v1/fill/w_102,h_102,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Logo_edited_edited.png",No,Tues - Sat 10 AM - 5 PM,,,,Yes,,,https://www.facebook.com/TwoGiftyGirls,@twogiftygirls,,,,,,,6a236ccb6dbf8d8e76bc5ec4
WhiskeyGirlsCoffeeCo,food-drink,Coffee Shops,,"Whiskey Girls Coffee Co. is a locally owned coffee stand serving handcrafted coffee, specialty drinks, breakfast items, and friendly hometown service. Known for its western flair and welcoming atmosphere, it's a favorite stop for Redmond locals looking for a great drink and an even better start to their day. Whiskey Girls Coffee",,Locally Owned; Small Batch; Handcrafted; Online Ordering; Coffee Kiosk; Walk-Up Window; Drive-Thru,,"722 NW 6th St., Redmond, OR 97756",541-279-3800,,,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/d2303a7de_WhiskeyGirls.jpg,No,"Mon - Fri 5:30 am - 5 pm, Sat & Sun 6 am - 5 pm",,,,Yes,,,https://www.facebook.com/profile.php?id=100088438731231,@whiskeygirlscoffeeco,,,,,,,6a2365b305ff9fb05f33d933
Wild Ride Brewing,bars-breweries,Breweries,food-drink,"Wild Ride Brewing Co is a locally owned craft brewery and taproom in downtown Redmond, serving award-winning beers, hosting a vibrant food truck courtyard, and providing a family-friendly atmosphere with indoor and outdoor seating. It's one of Central Oregon's favorite spots to gather, relax, and enjoy great local beer.",,Family Friendly; Food Trucks; Outdoor Seating; Dog Friendly; Locally Owned; Parking Available; Private Events,,"332 SW 5th St., Redmond, OR 97756",541-516-8544,info@wildridebew.com,https://www.wildridebrew.com/,,"https://static.wixstatic.com/media/7f7812_82a0adc2ac1141f4af989767267c67d0.png/v1/crop/x_0,y_6,w_1271,h_1008/fill/w_134,h_104,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/wild-ride-white.png",No,Daily 11:00 am to 10:00 pm,,,,Yes,,,https://www.facebook.com/WildRideBrewing,,,,,,,,6a23637f79fe96c1d62fbae4
e-bar Grill,food-drink,Restaurants,food-drink,"E BarGrill is a downtown Redmond favorite serving Northwest-inspired comfort food, local beers, handcrafted cocktails, weekend brunch, and daily happy hour specials. With indoor and outdoor seating, a welcoming atmosphere, and plenty of screens for sports fans, it's a great spot to gather with family and friends.",,Outdoor Seating; Family Friendly; Locally Owned; Reservations Accepted; Happy Hour; Kids Welcome,,"314 SW 5th St., Redmond, OR 97756",541-316-7050,,https://www.ebargrill.com/,,"https://static.wixstatic.com/media/96736a_a6d829afd957409ea15942f7d27c6fd8~mv2.jpg/v1/fill/w_163,h_163,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/IMG_1337_JPG.jpg",No,,,,,Yes,,,https://www.facebook.com/ebargrill/,@ebargrill,,,,,,,6a23624867394d2566b7112b
